[
log_version=6.0
server_name=ERS Reporting Server
server_version=6.4.5.430
jbre_version=5.5.14.1010
customer_name=¸ÞµðÁ¨ÈÞ¸ÕÄÉ¾î
user.dir=C:\Program Files\Apache Software Foundation\apache-tomcat-8.5.50
os.name=Windows 10
os.version=10.0
java.version=1.8.0_275
java.vm.version=25.275-b01
java.vm.vendor=ojdkbuild
java.vm.name=OpenJDK 64-Bit Server VM
java.home=C:\Java\java-1.8.0-openjdk-1.8.0.275-1\jre
java.class.path=C:\Program Files\Apache Software Foundation\apache-tomcat-8.5.50\bin\bootstrap.jar;C:\Program Files\Apache Software Foundation\apache-tomcat-8.5.50\bin\tomcat-juli.jar
file.encoding=MS949
user.language=ko
]

[2022-05-26 13:24:18.575][INFO ][20220526132417674] [rdid=20220526132417674] [06-process finish      ] LabTime=    15(ms) ElapsedTime=   900(ms) 
[2022-05-26 13:24:45.294][INFO ][20220526132445293] [rdid=20220526132445293] [01-process start       ] LabTime=     0(ms) ElapsedTime=     0(ms) 
[2022-05-26 13:24:45.297][INFO ][20220526132445293] [rdid=20220526132445293] [02-write mml start(J-S)] LabTime=     3(ms) ElapsedTime=     3(ms) 
[2022-05-26 13:24:45.529][INFO ][20220526132445293] [rdid=20220526132445293] [03-write mml success   ] LabTime=   232(ms) ElapsedTime=   235(ms) 
[2022-05-26 13:24:45.529][INFO ][20220526132445293] [rdid=20220526132445293] [04-process success     ] LabTime=     0(ms) ElapsedTime=   235(ms) 
[2022-05-26 13:24:46.433][INFO ][20220526132446432] [rdid=20220526132446432] [01-process start       ] LabTime=     1(ms) ElapsedTime=     1(ms) 
[2022-05-26 13:24:46.433][INFO ][20220526132446432] [rdid=20220526132446432] [02-export start        ] LabTime=     0(ms) ElapsedTime=     1(ms) 
[2022-05-26 13:24:46.566][INFO ][20220526132446432] [rdid=20220526132446432] [03-open file success   ] LabTime=   133(ms) ElapsedTime=   134(ms) 
[2022-05-26 13:24:47.286][INFO ][20220526132446432] [rdid=20220526132446432] [04-save file success   ] LabTime=   720(ms) ElapsedTime=   854(ms) 
[2022-05-26 13:24:47.298][INFO ][20220526132446432] [rdid=20220526132446432] [05-export success      ] LabTime=    12(ms) ElapsedTime=   866(ms) 
[2022-05-26 13:24:47.299][INFO ][20220526132446432] [rdid=20220526132446432] [06-process finish      ] LabTime=     1(ms) ElapsedTime=   867(ms) 
[2022-05-26 13:24:57.549][INFO ][20220526132457548] [rdid=20220526132457548] [01-process start       ] LabTime=     1(ms) ElapsedTime=     1(ms) 
[2022-05-26 13:24:57.549][INFO ][20220526132457548] [rdid=20220526132457548] [02-export start        ] LabTime=     0(ms) ElapsedTime=     1(ms) 
[2022-05-26 13:24:57.747][INFO ][20220526132457548] [rdid=20220526132457548] [03-open file success   ] LabTime=   198(ms) ElapsedTime=   199(ms) 
